Timestamp,IFPL  Messages  (average)
2017-08-13  10:38:20.030,8
2017-08-13  10:43:20.032,10
2017-08-13  10:48:20.034,13
2017-08-13  10:53:20.036,4
2017-08-13  10:58:20.038,12
2017-08-13  11:03:20.039,9
2017-08-13  11:08:20.041,10
2017-08-13  11:13:20.075,11
2017-08-13  11:18:20.044,10
2017-08-13  11:23:20.046,9
2017-08-13  11:28:20.048,8
2017-08-13  11:33:20.049,16
2017-08-13  11:38:20.086,4
2017-08-13  11:43:20.053,12
2017-08-13  11:48:20.054,9
2017-08-13  11:53:20.056,10
2017-08-13  11:58:20.058,6
2017-08-13  12:03:20.059,16
2017-08-13  12:08:20.061,6
2017-08-13  12:13:20.063,10
2017-08-13  12:18:20.064,13
2017-08-13  12:23:20.067,6
2017-08-13  12:28:20.068,11
2017-08-13  12:33:20.070,10
2017-08-13  12:38:20.107,6
2017-08-13  12:43:20.073,12
2017-08-13  12:48:20.075,10
2017-08-13  12:53:20.077,11
2017-08-13  12:58:20.079,10
2017-08-13  13:03:20.081,9
2017-08-13  13:08:20.117,10
2017-08-13  13:13:20.085,7
2017-08-13  13:18:20.087,12
2017-08-13  13:23:20.123,8
2017-08-13  13:28:20.127,10
2017-08-13  13:33:20.093,8
2017-08-13  13:38:20.131,11
2017-08-13  13:43:20.098,10
2017-08-13  13:48:20.099,11
2017-08-13  13:53:20.101,10
2017-08-13  13:58:20.103,5
2017-08-13  14:03:20.139,13
2017-08-13  14:08:20.107,8
2017-08-13  14:13:20.109,9
2017-08-13  14:18:20.112,10
2017-08-13  14:23:20.114,12
2017-08-13  14:28:20.155,7
2017-08-13  14:33:20.156,10
2017-08-13  14:38:20.124,14
2017-08-13  14:43:20.158,6
2017-08-13  14:48:20.128,10
2017-08-13  14:53:20.130,8
2017-08-13  14:58:20.132,10
2017-08-13  15:03:20.133,8
2017-08-13  15:08:20.135,12
2017-08-13  15:13:20.170,9
2017-08-13  15:18:20.139,10
2017-08-13  15:23:20.140,13
2017-08-13  15:28:20.177,6
2017-08-13  15:33:20.145,10
2017-08-13  15:38:20.146,10
2017-08-13  15:43:20.148,11
2017-08-13  15:48:20.150,7
2017-08-13  15:53:20.184,9
2017-08-13  15:58:20.188,12
2017-08-13  16:03:20.155,10
2017-08-13  16:08:20.190,9
2017-08-13  16:13:20.158,12
2017-08-13  16:18:20.160,5
2017-08-13  16:23:20.194,15
2017-08-13  16:28:20.164,7
2017-08-13  16:33:20.166,12
2017-08-13  16:38:20.168,8
2017-08-13  16:43:20.208,12
2017-08-13  16:48:20.207,11
2017-08-13  16:53:20.209,10
2017-08-13  16:58:20.177,10
2017-08-13  17:03:20.179,9
2017-08-13  17:08:20.181,12
2017-08-13  17:13:20.184,9
2017-08-13  17:18:20.222,9
2017-08-13  17:23:20.187,8
2017-08-13  17:28:20.189,11
2017-08-13  17:33:20.226,11
2017-08-13  17:38:20.195,10
2017-08-13  17:43:20.197,13
2017-08-13  17:48:20.199,9
2017-08-13  17:53:20.202,10
2017-08-13  17:58:20.203,11
2017-08-13  18:03:20.206,8
2017-08-13  18:08:20.208,8
2017-08-13  18:13:20.210,12
2017-08-13  18:18:20.212,10
2017-08-13  18:23:20.214,10
2017-08-13  18:28:20.215,11
2017-08-13  18:33:20.251,8
2017-08-13  18:38:20.220,12
2017-08-13  18:43:20.222,6
2017-08-13  18:48:20.224,12
2017-08-13  18:53:20.227,8
2017-08-13  18:58:20.228,11
2017-08-13  19:03:20.231,10
2017-08-13  19:08:20.233,9
2017-08-13  19:13:20.235,13
2017-08-13  19:18:20.274,5
2017-08-13  19:23:20.239,11
2017-08-13  19:28:20.241,10
2017-08-13  19:33:20.243,11
2017-08-13  19:38:20.247,9
2017-08-13  19:43:20.247,13
2017-08-13  19:48:20.250,5
2017-08-13  19:53:20.253,10
2017-08-13  19:58:20.255,14
2017-08-13  20:03:20.257,6
2017-08-13  20:08:20.259,9
2017-08-13  20:13:20.295,12
2017-08-13  20:18:20.263,10
2017-08-13  20:23:20.263,7
2017-08-13  20:28:20.265,11
2017-08-13  20:33:20.266,11
2017-08-13  20:38:20.267,10
2017-08-13  20:43:20.270,10
2017-08-13  20:48:20.271,10
2017-08-13  20:53:20.273,7
2017-08-13  20:58:20.275,11
2017-08-13  21:03:20.276,11
2017-08-13  21:08:20.278,9
2017-08-13  21:13:20.280,9
2017-08-13  21:18:20.281,11
2017-08-13  21:23:20.283,9
2017-08-13  21:28:20.284,10
2017-08-13  21:33:20.287,14
2017-08-13  21:38:20.288,4
2017-08-13  21:43:20.290,12
2017-08-13  21:48:20.292,8
2017-08-13  21:53:20.328,10
2017-08-13  21:58:20.295,10
2017-08-13  22:03:20.298,12
2017-08-13  22:08:20.298,6
2017-08-13  22:13:20.300,11
2017-08-13  22:18:20.302,14
2017-08-13  22:23:20.305,5
2017-08-13  22:28:20.341,11
2017-08-13  22:33:20.343,10
2017-08-13  22:38:20.311,10
2017-08-13  22:43:20.313,10
2017-08-13  22:48:20.315,9
2017-08-13  22:53:20.352,9
2017-08-13  22:58:20.320,10
2017-08-13  23:03:20.322,14
2017-08-13  23:08:20.323,6
2017-08-13  23:13:20.326,9
2017-08-13  23:18:20.329,12
2017-08-13  23:23:20.329,9
2017-08-13  23:28:20.331,7
2017-08-13  23:33:20.332,10
2017-08-13  23:38:20.334,12
2017-08-13  23:43:20.337,11
2017-08-13  23:48:20.338,8
2017-08-13  23:53:20.340,11
2017-08-13  23:58:20.377,6
2017-08-14  00:03:20.343,15
2017-08-14  00:08:20.345,6
2017-08-14  00:13:20.347,11
2017-08-14  00:18:20.348,9
2017-08-14  00:23:20.350,11
2017-08-14  00:28:20.352,10
2017-08-14  00:33:20.353,10
2017-08-14  00:38:20.356,12
2017-08-14  00:43:20.358,5
2017-08-14  00:48:20.360,12
2017-08-14  00:53:20.362,8
2017-08-14  00:58:20.400,10
2017-08-14  01:03:20.401,10
2017-08-14  01:08:20.368,12
2017-08-14  01:13:20.403,8
2017-08-14  01:18:20.374,8
2017-08-14  01:23:20.398,16
2017-08-14  01:28:20.377,5
2017-08-14  01:33:20.380,10
2017-08-14  01:38:20.382,11
2017-08-14  01:43:20.384,10
2017-08-14  01:48:20.385,5
2017-08-14  01:53:20.387,12
2017-08-14  01:58:20.390,10
2017-08-14  02:03:20.393,11
2017-08-14  02:08:20.394,12
2017-08-14  02:13:20.397,8
2017-08-14  02:18:20.399,7
2017-08-14  02:23:20.400,12
2017-08-14  02:28:20.437,9
2017-08-14  02:33:20.406,10
2017-08-14  02:38:20.408,8
2017-08-14  02:43:20.410,14
2017-08-14  02:48:20.447,9
2017-08-14  02:53:20.414,9
2017-08-14  02:58:20.415,11
2017-08-14  03:03:20.418,7
2017-08-14  03:08:20.419,13
2017-08-14  03:13:20.422,6
2017-08-14  03:18:20.456,10
2017-08-14  03:23:20.425,10
2017-08-14  03:28:20.427,11
2017-08-14  03:33:20.430,9
2017-08-14  03:38:20.431,11
2017-08-14  03:43:20.433,13
2017-08-14  03:48:20.436,5
2017-08-14  03:53:20.438,11
2017-08-14  03:58:20.441,8
2017-08-14  04:03:20.443,12
2017-08-14  04:08:20.445,7
2017-08-14  04:13:20.447,10
2017-08-14  04:18:20.449,10
2017-08-14  04:23:20.452,10
2017-08-14  04:28:20.454,13
2017-08-14  04:33:20.456,8
2017-08-14  04:38:20.492,9
2017-08-14  04:43:20.459,11
2017-08-14  04:48:20.496,9
2017-08-14  04:53:20.464,7
2017-08-14  04:58:20.466,9
2017-08-14  05:03:20.467,14
2017-08-14  05:08:20.469,10
2017-08-14  05:13:20.470,11
2017-08-14  05:18:20.472,8
2017-08-14  05:23:20.473,7
2017-08-14  05:28:20.476,13
2017-08-14  05:33:20.478,10
2017-08-14  05:38:20.481,8
2017-08-14  05:43:20.483,10
2017-08-14  05:48:20.486,11
2017-08-14  05:53:20.488,8
2017-08-14  05:58:20.489,8
2017-08-14  06:03:20.492,16
2017-08-14  06:08:20.526,4
2017-08-14  06:13:20.496,13
2017-08-14  06:18:20.497,8
2017-08-14  06:23:20.499,10
2017-08-14  06:28:20.501,9
2017-08-14  06:33:20.504,12
2017-08-14  06:38:20.506,5
2017-08-14  06:43:20.509,13
2017-08-14  06:48:20.511,14
2017-08-14  06:53:20.512,5
2017-08-14  06:58:20.547,10
2017-08-14  07:03:20.553,10
2017-08-14  07:08:20.519,10
2017-08-14  07:13:20.520,8
2017-08-14  07:18:20.554,11
2017-08-14  07:23:20.557,10
2017-08-14  07:28:20.526,10
2017-08-14  07:33:20.528,13
2017-08-14  07:38:20.529,7
2017-08-14  07:43:20.531,9
2017-08-14  07:48:20.532,11
2017-08-14  07:53:20.534,9
2017-08-14  07:58:20.537,8
2017-08-14  08:03:20.573,10
2017-08-14  08:08:20.540,12
2017-08-14  08:13:20.542,10
2017-08-14  08:18:20.544,9
2017-08-14  08:23:20.575,12
2017-08-14  08:28:20.547,5
2017-08-14  08:33:20.549,14
2017-08-14  08:38:20.551,7
2017-08-14  08:43:20.553,11
2017-08-14  08:48:20.555,9
2017-08-14  08:53:20.556,11
2017-08-14  08:58:20.559,7
2017-08-14  09:03:20.562,12
2017-08-14  09:08:20.562,12
2017-08-14  09:13:20.565,6
2017-08-14  09:18:20.566,10
2017-08-14  09:23:20.569,10
2017-08-14  09:28:20.570,10
2017-08-14  09:33:20.572,10
2017-08-14  09:38:20.574,12
2017-08-14  09:43:20.576,8
2017-08-14  09:48:20.577,9
2017-08-14  09:53:20.579,13
2017-08-14  09:58:20.581,6
2017-08-14  10:03:20.583,9
