Date,Number  of  Flights
2017-08-13  3:06:46,1050
2017-08-13  3:11:46,1053
2017-08-13  3:16:46,1054
2017-08-13  3:21:46,1055
2017-08-13  3:26:47,1053
2017-08-13  3:31:47,1058
2017-08-13  3:36:47,1061
2017-08-13  3:41:47,1063
2017-08-13  3:46:47,1065
2017-08-13  3:51:47,1068
2017-08-13  3:56:47,1069
2017-08-13  4:01:47,1071
2017-08-13  4:06:47,1071
2017-08-13  4:11:47,1071
2017-08-13  4:16:47,1073
2017-08-13  4:21:47,1078
2017-08-13  4:26:47,1079
2017-08-13  4:31:47,1082
2017-08-13  4:36:47,1086
2017-08-13  4:41:47,1087
2017-08-13  4:46:47,1090
2017-08-13  4:51:48,1090
2017-08-13  4:56:48,1090
2017-08-13  5:01:48,1091
2017-08-13  5:06:48,1098
2017-08-13  5:11:48,1098
2017-08-13  5:16:48,1102
2017-08-13  5:21:48,1103
2017-08-13  5:26:48,1104
2017-08-13  5:31:48,1108
2017-08-13  5:36:48,1109
2017-08-13  5:41:48,1109
2017-08-13  5:46:48,1110
2017-08-13  5:51:48,1115
2017-08-13  5:56:48,1115
2017-08-13  6:01:48,1118
2017-08-13  6:06:48,1121
2017-08-13  6:11:49,1123
2017-08-13  6:16:49,1126
2017-08-13  6:21:49,1127
2017-08-13  6:26:49,1126
2017-08-13  6:31:49,1125
2017-08-13  6:36:49,1131
2017-08-13  6:41:49,1134
2017-08-13  6:46:49,1135
2017-08-13  6:51:49,1137
2017-08-13  6:56:49,1141
2017-08-13  7:01:49,1140
2017-08-13  7:06:49,1143
2017-08-13  7:11:49,1145
2017-08-13  7:16:49,1144
2017-08-13  7:21:49,1146
2017-08-13  7:26:49,1151
2017-08-13  7:31:49,1150
2017-08-13  7:36:50,1155
2017-08-13  7:41:50,1158
2017-08-13  7:46:50,1157
2017-08-13  7:51:50,1162
2017-08-13  7:56:50,1163
2017-08-13  8:01:50,1162
2017-08-13  8:06:50,1164
2017-08-13  8:11:50,1171
2017-08-13  8:16:50,1172
2017-08-13  8:21:50,1173
2017-08-13  8:26:50,1174
2017-08-13  8:31:50,1174
2017-08-13  8:36:50,1180
2017-08-13  8:41:50,1181
2017-08-13  8:46:50,1181
2017-08-13  8:51:50,1179
2017-08-13  8:56:51,1185
2017-08-13  9:01:51,1187
2017-08-13  9:06:51,1191
2017-08-13  9:11:51,1190
2017-08-13  9:16:51,1193
2017-08-13  9:21:51,1197
2017-08-13  9:26:51,1199
2017-08-13  9:31:51,1198
2017-08-13  9:36:51,1198
2017-08-13  9:41:51,1202
2017-08-13  9:46:51,1206
2017-08-13  9:51:51,1207
2017-08-13  9:56:51,1210
2017-08-13  10:01:51,1211
2017-08-13  10:06:51,1211
2017-08-13  10:11:51,1215
2017-08-13  10:16:52,1215
