Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-12  19:07:26.589,22,0,17,5
2017-08-12  19:12:26.593,13,1,11,3
2017-08-12  19:17:26.595,18,1,17,2
2017-08-12  19:22:26.593,8,0,7,1
2017-08-12  19:27:26.595,14,0,12,2
2017-08-12  19:32:26.598,16,1,13,4
2017-08-12  19:37:26.600,17,0,16,1
2017-08-12  19:42:26.601,14,1,12,3
2017-08-12  19:47:26.603,23,1,19,5
2017-08-12  19:52:26.602,20,2,16,6
2017-08-12  19:57:26.603,14,1,12,3
2017-08-12  20:02:26.605,19,1,16,4
2017-08-12  20:07:26.606,8,0,7,1
2017-08-12  20:12:26.607,16,0,14,2
2017-08-12  20:17:26.609,15,0,12,3
2017-08-12  20:22:26.610,14,3,14,3
2017-08-12  20:27:26.614,16,0,14,2
2017-08-12  20:32:26.613,22,3,18,7
2017-08-12  20:37:26.614,20,0,16,4
2017-08-12  20:42:26.616,16,2,12,6
2017-08-12  20:47:26.617,19,1,17,3
2017-08-12  20:52:26.618,11,0,10,1
2017-08-12  20:57:26.620,11,0,10,1
2017-08-12  21:02:26.621,17,0,14,3
2017-08-12  21:07:26.623,15,2,14,3
2017-08-12  21:12:26.624,16,0,14,2
2017-08-12  21:17:26.627,23,2,18,7
2017-08-12  21:22:26.627,19,2,17,4
2017-08-12  21:27:26.628,13,1,9,5
2017-08-12  21:32:26.629,21,2,18,5
2017-08-12  21:37:26.631,8,0,8,0
2017-08-12  21:42:26.632,14,0,13,1
2017-08-12  21:47:26.634,15,0,12,3
2017-08-12  21:52:26.635,18,2,17,3
2017-08-12  21:57:26.636,14,1,12,3
2017-08-12  22:02:26.640,16,1,13,4
2017-08-12  22:07:26.639,26,1,21,6
2017-08-12  22:12:26.641,14,0,10,4
2017-08-12  22:17:26.642,18,4,16,6
2017-08-12  22:22:26.644,11,0,10,1
2017-08-12  22:27:26.647,11,0,11,0
2017-08-12  22:32:26.649,18,1,15,4
2017-08-12  22:37:26.648,17,1,15,3
2017-08-12  22:42:26.652,13,4,14,3
2017-08-12  22:47:26.653,19,0,14,5
2017-08-12  22:52:26.654,19,4,17,6
2017-08-12  22:57:26.654,17,2,14,5
2017-08-12  23:02:26.657,11,2,10,3
2017-08-12  23:07:26.656,17,0,14,3
2017-08-12  23:12:26.657,8,0,7,1
2017-08-12  23:17:26.659,19,0,16,3
2017-08-12  23:22:26.660,18,1,16,3
2017-08-12  23:27:26.662,10,1,10,1
2017-08-12  23:32:26.663,16,2,13,5
2017-08-12  23:37:26.665,21,0,18,3
2017-08-12  23:42:26.670,22,2,15,9
2017-08-12  23:47:26.668,15,1,12,4
2017-08-12  23:52:26.672,15,0,15,0
2017-08-12  23:57:26.671,9,0,8,1
