Timestamp,IFPL  Messages
2017-08-12  14:43:19.697,1721
2017-08-12  14:48:19.658,1729
2017-08-12  14:53:19.657,1735
2017-08-12  14:58:19.710,1749
2017-08-12  15:03:19.753,1758
2017-08-12  15:08:19.684,1765
2017-08-12  15:13:19.714,1774
2017-08-12  15:18:19.697,1785
2017-08-12  15:23:19.740,1803
2017-08-12  15:28:19.745,1817
2017-08-12  15:33:19.720,1837
2017-08-12  15:38:19.751,1843
2017-08-12  15:43:19.756,1856
2017-08-12  15:48:19.698,1864
2017-08-12  15:53:19.776,1873
2017-08-12  15:58:19.759,1882
2017-08-12  16:03:19.804,1894
2017-08-12  16:08:19.814,1904
2017-08-12  16:13:19.796,1913
2017-08-12  16:18:19.787,1926
2017-08-12  16:23:19.793,1930
2017-08-12  16:28:19.789,1943
2017-08-12  16:33:19.912,1953
2017-08-12  16:38:19.820,1963
2017-08-12  16:43:19.886,1973
2017-08-12  16:48:19.603,1985
2017-08-12  16:53:19.606,1994
2017-08-12  16:58:19.609,2004
2017-08-12  17:03:19.611,2017
2017-08-12  17:08:19.613,2024
2017-08-12  17:13:19.615,2035
2017-08-12  17:18:19.616,2042
2017-08-12  17:23:19.619,2052
2017-08-12  17:28:19.620,2062
2017-08-12  17:33:19.622,2075
2017-08-12  17:38:19.624,2082
2017-08-12  17:43:19.626,2096
2017-08-12  17:48:19.629,2108
2017-08-12  17:53:19.630,2113
2017-08-12  17:58:19.633,2127
2017-08-12  18:03:19.635,2135
2017-08-12  18:08:19.637,2146
2017-08-12  18:13:19.639,2154
2017-08-12  18:18:19.641,2165
2017-08-12  18:23:19.643,2174
2017-08-12  18:28:19.645,2184
2017-08-12  18:33:19.648,2197
2017-08-12  18:38:19.649,2202
2017-08-12  18:43:19.652,2215
2017-08-12  18:48:19.654,2223
2017-08-12  18:53:19.656,2232
2017-08-12  18:58:19.660,2240
2017-08-12  19:03:19.661,2255
2017-08-12  19:08:19.662,2260
2017-08-12  19:13:19.663,2271
2017-08-12  19:18:19.701,2286
2017-08-12  19:23:19.668,2291
2017-08-12  19:28:19.670,2300
2017-08-12  19:33:19.672,2312
2017-08-12  19:38:19.674,2320
2017-08-12  19:43:19.676,2329
2017-08-12  19:48:19.678,2342
2017-08-12  19:53:19.680,2349
2017-08-12  19:58:19.717,2359
2017-08-12  20:03:19.685,2373
2017-08-12  20:08:19.723,2380
2017-08-12  20:13:19.689,2388
2017-08-12  20:18:19.691,2399
2017-08-12  20:23:19.693,2409
2017-08-12  20:28:19.695,2417
2017-08-12  20:33:19.696,2426
2017-08-12  20:38:19.731,2437
2017-08-12  20:43:19.700,2448
2017-08-12  20:48:19.702,2457
2017-08-12  20:53:19.704,2469
2017-08-12  20:58:19.707,2475
2017-08-12  21:03:19.708,2489
2017-08-12  21:08:19.711,2495
2017-08-12  21:13:19.713,2505
2017-08-12  21:18:19.715,2515
2017-08-12  21:23:19.751,2526
2017-08-12  21:28:19.719,2535
2017-08-12  21:33:19.754,2546
2017-08-12  21:38:19.723,2558
2017-08-12  21:43:19.758,2564
2017-08-12  21:48:19.726,2576
2017-08-12  21:53:19.728,2583
2017-08-12  21:58:19.730,2594
2017-08-12  22:03:19.731,2602
2017-08-12  22:08:19.734,2615
2017-08-12  22:13:19.735,2622
2017-08-12  22:18:19.772,2632
2017-08-12  22:23:19.740,2647
2017-08-12  22:28:19.776,2652
2017-08-12  22:33:19.742,2662
2017-08-12  22:38:19.743,2673
2017-08-12  22:43:19.747,2683
2017-08-12  22:48:19.781,2689
2017-08-12  22:53:19.783,2698
2017-08-12  22:58:19.786,2711
2017-08-12  23:03:19.753,2720
2017-08-12  23:08:19.755,2733
2017-08-12  23:13:19.792,2742
2017-08-12  23:18:19.760,2749
2017-08-12  23:23:19.763,2760
2017-08-12  23:28:19.764,2770
2017-08-12  23:33:19.766,2780
2017-08-12  23:38:19.769,2788
2017-08-12  23:43:19.806,2800
2017-08-12  23:48:19.773,2809
2017-08-12  23:53:19.775,2818
2017-08-12  23:58:19.777,2831
2017-08-13  00:03:19.780,5
2017-08-13  00:08:19.781,18
2017-08-13  00:13:19.782,26
2017-08-13  00:18:19.784,35
2017-08-13  00:23:19.786,46
2017-08-13  00:28:19.820,56
2017-08-13  00:33:19.788,64
2017-08-13  00:38:19.790,75
2017-08-13  00:43:19.827,89
2017-08-13  00:48:19.829,94
2017-08-13  00:53:19.797,105
2017-08-13  00:58:19.798,113
2017-08-13  01:03:19.801,124
2017-08-13  01:08:19.801,132
2017-08-13  01:13:19.803,144
2017-08-13  01:18:19.807,152
2017-08-13  01:23:19.807,163
2017-08-13  01:28:19.809,177
2017-08-13  01:33:19.812,183
2017-08-13  01:38:19.814,192
2017-08-13  01:43:19.817,204
2017-08-13  01:48:19.819,213
2017-08-13  01:53:19.820,220
2017-08-13  01:58:19.858,228
2017-08-13  02:03:19.828,241
2017-08-13  02:08:19.862,252
2017-08-13  02:13:19.829,262
2017-08-13  02:18:19.832,273
2017-08-13  02:23:19.834,278
2017-08-13  02:28:19.835,291
2017-08-13  02:33:19.837,299
2017-08-13  02:38:19.839,310
2017-08-13  02:43:19.876,319
2017-08-13  02:48:19.875,330
2017-08-13  02:53:19.843,337
